property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,,,,,,,,,
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,644,New Property,Poss. by Oct '24,5 out of 10,Unfurnished,West,"Luxury project with basement parking, Solar rooftop, Gym, Build with advanced machinery and standard materials that last long. Best project for under construction scheme for a happy family life.Read more",2891,3380000,,,Price per sqft,,,,Row Labels,Sum of price,
2 BHK Apartment for Sale in Althan Surat,Super Area,1278,New Property,Poss. by Jan '26,6 out of 14,Unfurnished,South -West,2 And 3 BHK Luxurious Flat for Sell In New Althan Area With All Aminities .Read more,3551,4540000,,,,,,,New Property,17356942000,
2 BHK Apartment for Sale in Pal Gam Surat,Super Area,1173,Resale,Ready to Move,5 out of 13,Semi-Furnished,East,"This affordable 2 BHK flat is situated along a 200foot road, ensuring easy access and connectivity. Enjoy the convenience of a prime location at a budgetfriendly price. Additionally, it is ready to move in, offering immediate occupancy for your convenience. With a towering 19floor height, it provides impressive views and a sense of elevation.Read more",3800,4460000,,,Mean,5148.338599,,,Resale,6997440000,
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,700,New Property,Ready to Move,6 out of 14,Unfurnished,East,2 BHK Flat For sell IN Jahangirabad Prime Location,3966,4700000,,,Standard Error,66.4397513,,,Grand Total,24354382000,
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,720,New Property,Poss. by Dec '25,3 out of 14,Unfurnished,East,"Irrespective of the business branch, the our group believes in, and follows a singular philosophicalRead more",3200,4000000,,,Median,4706,,,,,
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,748,New Property,Poss. by Dec '25,6 out of 13,Unfurnished,East,next to Canezaa theater near new d mart location a very anchor location and full of amenities with very simple payment conditionsRead more,3235,4400000,,,Mode,4500,,,Row Labels,Sum of price,Sum of price_per_sqft
1 BHK House for Sale in Kim Surat,Carpet Area,480,Resale,Ready to Move,1 out of 1,Unfurnished,East,"1 BHK, Residential House is available for Sale in Kim, Surat for 12.50 Lac(s)Read more",2315,1250000,,,Standard Deviation,2895.279401,,,Carpet Area,7972510000,3558935
2 BHK Apartment for Sale in NavYug College Surat,Carpet Area,1650,Resale,Ready to Move,7 out of 10,Unfurnished,East,"Presenting an exceptional 2 BHK flat for sale, strategically located near NavYug College on Rander Road, Surat. This residence combines modern living with convenience, offering a perfect blend of comfort and accessibility.   Property Specifications   Discover a spacious haven with a carpet area of 1650 sqft on the 7th floor of a 10-story building. The flat is unfurnished, allowing you the freedom to customize your living space according to your style and preferences.   The 2-bedroom layout includes 2 western-style bathrooms, with one attached to the master bedroom and another serving as a common facility. Enjoy the luxury of an attached balcony overlooking the main road, seamlessly connected to the hall. The residence features a separate living and dining area, ensuring privacy and functional space. Additionally, a convenient store room adds to the practicality of the home.   The kitchen is designed for efficiency, equipped with a normal layout, platform, and sink. A piped gas connection is available for your cooking convenience, and a utility area is attached to the kitchen. The entire space is adorned with ceramic tiles, providing a contemporary and easy-to-maintain flooring solution. The property is vaastu compliant, and its east-facing orientation brings in ample natural light.   Facilities   Experience the ease of living with covered parking for your vehicle. Enjoy uninterrupted living with 24-hour water supply sourced from the corporation. The property comes with 100 power backup, ensuring you never face disruptions. Your security is our priority, with a dedicated security guard and CCTV surveillance. The building is equipped with 2 elevators for swift and convenient access to your residence.   Locality   Situated near the Vijay Sales Showroom, this property is surrounded by educational institutions and healthcare facilities within a 1 to 2 km radius. Malls and supermarkets are also conveniently located, offering a range of shopping and entertainment options. Banks and ATMs in close proximity add to the convenience of daily life. For those relying on public transport, the property is well-connected. The railway station is 8 to 9 km away, providing easy access for commuters.Read more",3125,5000000,,,Sample Variance,8382642.81,,,Super Area,16381872000,6217760
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1511,New Property,Poss. by Feb '26,5 out of 13,Unfurnished,North - East,120 ft main road touch  corner project only 3 BHK flats aminitiesbanquet halltemplegardengymnasiumchildren play areagajebo sittingJogging trackbasement parkingRead more,2368,3580000,,,Kurtosis,239.097293,,,Grand Total,24354382000,9776695
3 BHK Apartment for Sale in Mota Varachha Surat,Carpet Area,1000,New Property,Ready to Move,3 out of 5,Furnished,East,"3bhk fully furnished flat in Mota Varachha n well maintained fully furnished with softa, fan  lightsRead more",3185,4300000,,,Skewness,11.84415676,,,,,
1 BHK Apartment for Sale in Ramnagar Surat,Carpet Area,731,Resale,Ready to Move,2 out of 5,Unfurnished,East,gated security,2736,2000000,,,Range,75222,,,Row Labels,Sum of price,Sum of price_per_sqft
2 BHK Builder Floor for Sale in Amroli Surat,Carpet Area,950,Resale,Ready to Move,5 out of 5,Unfurnished,West,Flat for sale in Amroli Surat. Prime location. Near by Mansarovar Shopping center.Read more,2829,2900000,,,Minimum,1167,,,1 BHK House for Sale in Sayan Surat,1000000,2315
1 BHK House for Sale in Palsana Surat,Carpet Area,432,New Property,Ready to Move,Ground out of 1,Unfurnished,West,Corner house,3009,1300000,,,Maximum,76389,,,6 BHK Apartment for Sale in Piplod Surat,1009000,9800
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,910,Resale,Ready to Move,1 out of 5,Unfurnished,East,This is 3 bhk fully furnished flat with all furniture and electronic appliances.Read more,2857,4000000,,,Sum,9776695,,,2 BHK Builder Floor for Sale in Pasodara Surat,1050000,1220
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1250,New Property,Ready to Move,7 out of 14,Unfurnished,South -West,Project on 150 ft road.good location2 and 3 bhk flats available2 bhk 1250 sq ft3 bhk 1598 sq ftlowest rate in areaRead more,3325,4160000,,,Count,1899,,,2 BHK House for Sale in Kim Surat,1050000,1167
2 BHK Apartment for Sale in Shivalik Height Surat,Super Area,1105,Resale,Ready to Move,9 out of 14,Unfurnished,South -West,"Book Your Budgeted 2BHK Flat, Single Tower, Alloted Parking, Easy Payment ScheduleRead more",3842,4250000,,,,,,,1 BHK Apartment for Sale in suman ashish Surat,1200000,3429
2 BHK Apartment for Sale in Althan Surat,Super Area,1305,Resale,Poss. by Dec '26,5 out of 12,Unfurnished,East,"he beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more",3678,4800000,,,Price ,,,,1 BHK House for Sale in Kim Surat,1250000,2315
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1290,New Property,Ready to Move,5 out of 13,Furnished,East,"2 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 45.0 Lac(s)Read more",3488,4500000,,,,,,,1 BHK Apartment for Sale in Udhna Surat,1280000,2318
